
2024/06/14 (21:41:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/14 (21:41:44) | ===> btop++ v.1.3.2
2024/06/14 (21:41:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/14 (21:41:54) | ===> btop++ v.1.3.2
2024/06/14 (21:41:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/14 (21:41:57) | ===> btop++ v.1.3.2
2024/06/14 (21:41:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/14 (21:42:36) | ===> btop++ v.1.3.2
2024/06/14 (21:42:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
